0,1,2
"{'JUMBO BAG TOYS ', 'JUMBO SHOPPER VINTAGE RED PAISLEY'}",{'JUMBO STORAGE BAG SUKI'},0.8007518796992481
"{'STRAWBERRY CHARLOTTE BAG', 'PACK OF 72 RETROSPOT CAKE CASES'}",{'RED RETROSPOT CHARLOTTE BAG'},0.80078125
"{'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY'}","{'HERB MARKER BASIL', 'HERB MARKER THYME', 'HERB MARKER MINT'}",0.8009259259259259
"{'HERB MARKER BASIL', 'HERB MARKER THYME'}","{'HERB MARKER ROSEMARY', 'HERB MARKER CHIVES '}",0.8009478672985783
"{'JUMBO BAG TOYS ', 'JUMBO SHOPPER VINTAGE RED PAISLEY', 'JUMBO BAG PINK POLKADOT'}",{'JUMBO BAG WOODLAND ANIMALS'},0.8010752688172043
"{'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY TEA PLATE PINK'}","{'REGENCY TEA PLATE GREEN ', 'REGENCY TEA PLATE ROSES ', 'ROSES REGENCY TEACUP AND SAUCER '}",0.8010752688172043
"{'JUMBO BAG TOYS ', 'JUMBO SHOPPER VINTAGE RED PAISLEY', 'JUMBO BAG PINK POLKADOT'}","{'JUMBO STORAGE BAG SUKI', 'JUMBO BAG RED RETROSPOT'}",0.8010752688172043
"{'REGENCY SUGAR BOWL GREEN', 'REGENCY CAKESTAND 3 TIER'}",{'REGENCY TEAPOT ROSES '},0.8011049723756906
"{'RED RETROSPOT CHARLOTTE BAG', 'LUNCH BAG  BLACK SKULL', 'LUNCH BAG WOODLAND'}",{'WOODLAND CHARLOTTE BAG'},0.8011695906432749
"{'STRAWBERRY CHARLOTTE BAG', 'RED RETROSPOT CHARLOTTE BAG', 'LUNCH BAG WOODLAND'}",{'CHARLOTTE BAG SUKI DESIGN'},0.8011695906432749
"{'LUNCH BAG  BLACK SKULL', 'LUNCH BAG PINK POLKADOT', 'LUNCH BAG WOODLAND', 'LUNCH BAG SPACEBOY DESIGN '}",{'LUNCH BAG RED RETROSPOT'},0.8011695906432749
"{'STRAWBERRY CHARLOTTE BAG', 'WOODLAND CHARLOTTE BAG', 'LUNCH BAG  BLACK SKULL', 'RED RETROSPOT CHARLOTTE BAG'}",{'CHARLOTTE BAG PINK POLKADOT'},0.8011695906432749
"{'SET OF 12 FAIRY CAKE BAKING CASES', 'SET OF 6 TEA TIME BAKING CASES', 'SET OF 6 SNACK LOAF BAKING CASES'}",{'SET OF 12 MINI LOAF BAKING CASES'},0.8012048192771084
